year,passengers
1982,24699184
1983,26501498
1984,32231758
1985,37486864
1986,43406078
1987,41976452
1988,44230889
1989,47579823
1990,48515464
1991,48174344
1992,51981267
1993,49654730
1994,52642225
1995,56490845
1996,58034503
1997,60448713
1998,60313000
1999,60112998
2000,60687181
2001,55141763
2002,52829750
2003,53252205
2004,59446078
2005,59176265
2006,60226829
2007,59786476
2008,57093187
2009,56030457
2010,56905600
2011,57806918
2012,58590633
2013,60436739
2014,63522823
2015,65512163
2016,65670697
