year,passengers
1957,41335
1958,48568
1959,134773
1960,195907
1961,213289
1962,209629
1963,205592
1964,185058
1965,252040
1966,317721
1967,495279
1968,806679
1969,1301668
1970,1623473
1971,1867877
1972,2785744
1973,3181186
1974,3438430
1975,3698896
1976,4101438
1977,4397858
1978,5735800
1979,6221150
1980,6024879
1981,5742071
1982,5845575
1983,5700612
1984,6433464
1985,6752967
1986,7933054
1987,8616609
1988,8576814
1989,8506353
1990,9098124
1991,8045712
1992,8344866
1993,9172308
1994,10571364
1995,9850713
1996,11163852
1997,12277411
1998,12453874
1999,13990692
2000,15860004
2001,16407927
2002,17037261
2003,17938046
2004,20819292
2005,22390285
2006,21369787
2007,22681903
2008,22621698
2009,21061131
2010,22412627
2011,23349835
2012,23569103
2013,23559779
2014,24648306
2015,26941511
2016,29205002
