year,passengers,cargotonnage,aircraftoperations
1998,26526708,701921,507449
1999,27052078,712084,494816
2000,27726833,726174,487996
2001,24474930,672399,463125
2002,22696141,694805,392079
2003,22791169,672419,373304
2004,26142516,679637,405258
2005,27087905,670759,409066
2006,27725443,639534,406119
2007,28102455,652654,399537
2008,26102455,621567,371604
2009,25512086,666888,345306
2010,27428962,670190,352643
2011,28907938,684606,368987
2012,29325617,684875,354869
2013,30318631,691229,361339
2014,31634445,695123,363797
2015,33449580,684970,372920
2016,36288042,703786,391222
