year,passengers
1949,139327
1950,193373
1951,321189
1952,390427
1953,402674
1954,426600
1955,496641
1956,582120
1957,682609
1958,698543
1959,786798
1960,878669
1961,883288
1962,951655
1963,1152065
1964,1319855
1965,1632833
1966,2048034
1967,2486213
1968,2958053
1969,3320576
1970,3341391
1971,3464174
1972,3915395
1973,4274286
1974,4410972
1975,4490668
1976,4912368
1977,5447648
1978,6185583
1979,6541820
1980,5213356
1981,5022152
1982,5630343
1983,6547439
1984,7173272
1985,7937806
1986,9084438
1987,9801030
1988,10748729
1989,11111080
1990,10937026
1991,11185920
1992,11759091
1993,11817706
1994,12681985
1995,12908395
1996,13461361
1997,13900712
1998,14340447
1999,14971261
2000,15746445
2001,14942061
2002,14731518
2003,15304975
2004,16517153
2005,17569355
2006,17673483
2007,18326734
2008,18125633
2009,16974172
2010,16889622
2011,16891690
2012,17250265
2013,17710241
2014,18758751
2015,20081258
2016,20725801
