year,passengers
1966,2822077
1967,3853607
1968,4434778
1969,4804928
1970,4653443
1971,4697605
1972,4788962
1973,5205093
1974,5772216
1975,6112423
1976,6806748
1977,7332443
1978,8367977
1979,9820419
1980,9194650
1981,9117630
1982,9278737
1983,10141737
1984,10476630
1985,11466755
1986,13642666
1987,14445482
1988,14495519
1989,15241258
1990,16240309
1991,16313289
1992,17962217
1993,18800524
1994,20972819
1995,22773986
1996,24324596
1997,24730113
1998,25863466
1999,27705488
2000,28408553
2001,27036073
2002,26738558
2003,26799913
2004,28804554
2005,29289026
2006,29996424
2007,31295822
2008,32196528
2009,31227512
2010,31553166
2011,32823220
2012,33233111
2013,34826741
2014,37498267
2015,42340537
2016,45736700
