year,passengers
1938,28611
1939,21861
1940,28624
1941,37099
1942,82397
1943,107945
1944,110242
1945,170437
1946,272513
1947,471944
1948,469849
1949,467397
1950,516961
1951,582281
1952,661189
1953,684559
1954,720033
1955,775441
1956,881814
1957,950883
1958,981022
1959,1069523
1960,1609303
1961,1723979
1962,1911060
1963,2225568
1964,2556330
1965,3019789
1966,3534450
1967,4363672
1968,4632216
1969,5538271
1970,7234594
1971,7604992
1972,8704003
1973,10109483
1974,10639503
1975,11306443
1976,12182519
1977,12922895
1978,14703764
1979,15506169
1980,15155337
1981,15376489
1982,16493587
1983,16035463
1984,17287620
1985,17497204
1986,19076395
1987,20380042
1988,21577541
1989,22617340
1990,23367770
1991,22224594
1992,22608188
1993,22061953
1994,22995976
1995,23672894
1996,24326737
1997,23880346
1998,22636354
1999,22560399
2000,23027674
2001,20151935
2002,19749902
2003,18690888
2004,19334674
2005,20179634
2006,20266686
2007,21517476
2008,18809103
2009,18171937
2010,18443873
2011,17991497
2012,19291412
2013,19776751
2014,19972910
2015,19869707
2016,19950125
