year,passengers
1984,20302511
1985,20542452
1986,22188871
1987,24225913
1988,24158780
1989,23158317
1990,22764604
1991,19686256
1992,19745847
1993,19804566
1994,20730467
1995,20599210
1996,20699136
1997,21607448
1998,22811935
1999,23926923
2000,25360034
2001,22519874
2002,21986679
2003,22482770
2004,24435619
2005,25889390
2006,25810603
2007,24985264
2008,23076903
2009,22142336
2010,23983082
2011,24122478
2012,25707784
2013,26722183
2014,26954588
2015,29437668
2016,29786769
