year,passengers
1984,23654163
1985,28576586
1986,29433046
1987,23475254
1988,22495568
1989,20927946
1990,22255002
1991,22276396
1992,24284248
1993,25809413
1994,28019984
1995,26626231
1996,29117464
1997,30945857
1998,32575874
1999,33622686
2000,34188701
2001,31100491
2002,29220775
2003,29428899
2004,31893372
2005,33078473
2006,35764910
2007,36367240
2008,35366359
2009,33424110
2010,33107041
2011,33711372
2012,34014027
2013,35016236
2014,35600108
2015,37494704
2016,40351331
